y,x
-1.35,5.24
-1.33,5.26
-1.31,5.28
-1.29,5.28
-1.26,5.28
-1.23,5.28
-1.20,5.28
-1.18,5.28
-1.15,5.28
-1.12,5.28
-1.09,5.28
-1.06,5.28
-1.04,5.28
-1.01,5.28
-0.98,5.28
-0.95,5.28
-0.93,5.28
-0.90,5.28
-0.87,5.28
-0.84,5.28
-0.81,5.28
-0.79,5.28
-0.76,5.28
-0.73,5.28
-0.70,5.28
-0.67,5.28
-0.65,5.28
-0.62,5.28
-0.59,5.28
-0.56,5.28
-0.53,5.28
-0.51,5.28
-0.49,5.27
-0.47,5.24
-0.45,5.23
-0.42,5.23
-0.39,5.23
-0.36,5.23
-0.33,5.23
-0.31,5.23
-0.28,5.22
-0.26,5.20
-0.25,5.17
-0.23,5.15
-0.21,5.13
-0.19,5.12
-0.17,5.10
-0.15,5.08
-0.13,5.06
-0.11,5.04
-0.09,5.02
-0.07,5.00
-0.05,4.98
-0.03,4.96
-0.01,4.94
0.01,4.92
0.03,4.90
0.05,4.88
0.07,4.86
0.09,4.84
0.11,4.82
0.13,4.80
0.15,4.78
0.17,4.76
0.19,4.74
0.21,4.72
0.23,4.70
0.25,4.68
0.27,4.66
0.29,4.64
0.31,4.62
0.32,4.60
0.34,4.58
0.36,4.56
0.38,4.54
0.40,4.53
0.42,4.51
0.45,4.49
0.47,4.47
0.49,4.45
0.50,4.43
0.50,4.40
0.50,4.37
0.50,4.34
0.51,4.32
0.53,4.30
0.55,4.28
0.55,4.25
0.58,4.22
0.61,4.19
0.64,4.17
0.67,4.15
0.70,4.13
0.70,4.11
0.70,4.08
0.70,4.05
0.70,4.02
0.70,3.99
0.70,3.97
0.71,3.94
0.71,3.91
0.71,3.88
0.71,3.86
0.72,3.83
0.72,3.80
0.72,3.77
0.72,3.74
0.73,3.72
0.73,3.69
0.73,3.66
0.73,3.63
0.74,3.60
0.74,3.58
0.74,3.55
0.74,3.52
0.75,3.49
0.75,3.47
0.75,3.44
0.75,3.41
0.76,3.38
0.76,3.35
0.76,3.33
0.76,3.30
0.77,3.27
0.77,3.24
0.77,3.21
0.77,3.19
0.77,3.16
0.77,3.13
0.77,3.10
0.77,3.08
0.77,3.05
0.77,3.02
0.77,2.99
0.77,2.96
0.77,2.94
0.77,2.91
0.77,2.88
0.77,2.85
0.77,2.82
0.77,2.80
0.77,2.77
0.77,2.74
0.77,2.71
0.77,2.69
0.77,2.66
0.77,2.63
0.77,2.60
0.77,2.58
0.77,2.56
0.77,2.54
0.77,2.51
0.77,2.48
0.77,2.46
0.77,2.43
0.77,2.40
0.77,2.37
0.77,2.34
0.77,2.32
0.77,2.29
0.77,2.26
0.77,2.23
0.77,2.21
0.77,2.19
0.77,2.17
0.77,2.14
0.77,2.12
0.77,2.09
0.77,2.06
0.77,2.03
0.77,2.00
0.77,1.98
